⚠️ Community-submitted results. No independent verification is performed. Scores are self-reported and may be inaccurate. Use at your own risk.,,,,,,,,,,,,
Rank,Release Date,Result Source,Model Type,Open?,Model Size,Model,"Screen
Representation","Success Rate
(pass@1)","Number
of trials","Success Rate
(pass@k)","Trajectory
submissions",Note
25,8/2025,GUI-Owl-7B,Model,✗,7B,GUI-Owl-7B,Screenshot,66.4,1,,,https://github.com/X-PLUG/MobileAgent/tree/main
26,8/2025,UI-Venus,Model,✔,72B,UI-Venus-Navi-72B,Screenshot,65.9,1,,https://github.com/inclusionAI/UI-Venus/blob/main/vis_androidworld/UI-Venus-androidworld.zip,https://huggingface.co/inclusionAI/UI-Venus-Navi-72B
27,07/2025,MobileUse,AI agent,✔,72B,Qwen2.5-VL-72B,Screenshot,62.9,1,,,
28,05/2025,Seed1.5-VL,Model,✔,20.B,Seed1.5-VL,Screenshot + A11y tree,62.1,1,,,
29,6/2025,JT-GUIAgent-V1,AI agent,✗,-,JT-GUIAgent-V1,Screenshot,60.0,1,,,
30,3/2025,V-Droid Paper,AI agent,✔,8B,V-Droid (Llama8B),A11y tree,59.5,1,-,-,Training data consists of apps and tasks from the AndroidWorld benchmark. Code.
31,4/2025,Agent S2,AI agent,✔,-,Agent S2,Screenshot,54.3,1,-,,
32,8/2025,UI-Venus,Model,✔,7B,Venus-Navi-7B,Screenshot,49.1,1,,https://github.com/inclusionAI/UI-Venus/blob/main/vis_androidworld/UI-Venus-androidworld.zip,https://huggingface.co/inclusionAI/UI-Venus-Navi-7B
32,1/2026,MAI-UI,Model,✔,2B,MAI-UI-2B,Screenshot,49.1,,,,
34,05/2025,GUI-Explorer,AI agent,✔,-,GPT-4o,Screenshot + A11y tree,47.4,1,,,
35,4/2025,AndroidGen,AI agent,✔,-,GPT-4o,A11y tree,46.8,1,,,
36,1/2025,UI-TARS,Model,✔,72B,UI-TARS,Screenshot,46.6,1,-,,
37,12/2024,Aria-UI,Model,✔,-,GPT-4o + Aria-UI,Screenshot,44.8,1,-,-,
38,4/2025,ScaleTrack,Model,✗,8B,ScaleTrack-7B,A11y tree,44.0,1,,,
38,1/2025,UGround,Model,✔,-,GPT-4o + UGround,Screenshot,44.0,1,-,Trajectories,Code for reproduction
40,6/2025,Mirage-1,AI agent,✔,-,GPT-4o,Screenshot,42.2,1,,,With Mirage-1-O; uses OS-Atlas grounder
41,12/2024,Ponder & Press,AI agent,✗,-,GPT-4o,Screenshot,34.5,1,-,-,Code is not yet open-sourced
42,05/2024,AndroidWorld,AI agent,✔,-,GPT-4 Turbo,A11y tree,30.6,1,-,-,
43,6/2025,GUI-Critic-R1,Model,✔,7B,Qwen-2.5-VL-7B,Screenshot + A11y tree,27.6,1,,,
43,05/2024,EcoAgent,AI agent,✗,-,"GPT-4o, OS-Atlas-Pro 4B, Qwen2-VL-2B-Instruct",Screenshot,27.6,1,,,
45,1/2025,InfiGUIAgent,Model,✔,2B,Qwen2-VL-2B (fine-tuned),Screenshot,9.0,1,-,-,
,10/2024,OSCAR,AI agent,✗,-,GPT-4o,Screenshot,,1,61.6 (k=4),-,Code will be open-source upon publication.
,,,,,,,,,,,,
,Human Performance,,,,,,,,,,,
,05/2024,AndroidWorld,,-,,Human,,80.0,3,,,
,,,,,,,,,,,,
,Comment here or email crawles@gmail.com to submit your work! Please attach how should the data entry look like.,,,,,,,,,,,
,,,,,,,,,,,,
,Definitions,,,,,,,,,,,
,Model,A relatively simple prompt involving one LLM /VLM call ,,,,,,,,,,
,AI agent,"A multi-agent architecture involving several LLM calls and a protocol to coordinate the various agents or an LLM wrapped into an advanced agent with memory, subgoal planning, etc.",,,,,,,,,,
